"Transmitter Name","Transmitter ID"
"Satellite/SA0201/Sensor/L/Transmitter/BL",0

"Receiver Name","Receiver ID"
"Satellite/SA0101/Sensor/L/Receiver/RL",0

"Time (UTCG)","Link To ID","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Carrier Power at Rcvr Input (dBW)","Flux Density (dBW/m^2)","Rcvr Gain (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Losss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Train (K)","Tatmos (K)","TcloudsFog (K)","TtropoScintill (K)","Tsun (K)","Tearth (K)","Tcosmic (K)","Tother (K)","Tantenna (K)","Tequiv (K)","g/T (dB/K)","C/No (dB*Hz)","C/(No+Io) (dB*Hz)","Bandwidth (MHz)","Bandwidth Overlap (units)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","C/N (dB)","C/(N+I) (dB)","Eb/No (dB)","Eb/(No+Io) (dB)","BER","BER+I","C/I (dB)","DeltaT/T (dB)","Pwr Flux Density (dBW/m^2)"
27 Mar 2026 04:00:00.000,0,16.990,41.8926,58.882,201.837,0.000,4061.6705,338.163,0.000,40.000,-137.781,-101.909,-84.2839,35.8720,196.6631,0.0000,0.0000,0.0000,0.0000,196.6631,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.0664,102.0664,50.0000,1.0000,0.000,0.0000,25.0767,25.0767,22.0664,22.0664,6.3969e-13,6.3969e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:01:00.000,0,16.990,41.8926,58.882,73.517,0.001,4050.9858,74.959,0.001,40.000,-137.758,-101.886,-84.2610,35.8720,196.6402,0.0000,0.0000,0.0000,0.0000,196.6402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.0893,102.0893,50.0000,1.0000,0.000,0.0000,25.0996,25.0996,22.0893,22.0893,5.6063e-13,5.6063e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:02:00.000,0,16.990,41.8926,58.882,73.010,0.001,4031.9179,75.284,0.001,40.000,-137.717,-101.845,-84.2200,35.8720,196.5992,0.0000,0.0000,0.0000,0.0000,196.5992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.1303,102.1303,50.0000,1.0000,0.000,0.0000,25.1406,25.1406,22.1303,22.1303,4.4185e-13,4.4185e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:03:00.000,0,16.990,41.8926,58.882,72.459,0.001,4004.6020,75.568,0.001,40.000,-137.658,-101.786,-84.1610,35.8720,196.5402,0.0000,0.0000,0.0000,0.0000,196.5402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.1893,102.1893,50.0000,1.0000,0.000,0.0000,25.1996,25.1996,22.1893,22.1893,3.1233e-13,3.1233e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:04:00.000,0,16.990,41.8926,58.882,71.856,0.001,3969.3229,75.808,0.001,40.000,-137.581,-101.709,-84.0841,35.8720,196.4633,0.0000,0.0000,0.0000,0.0000,196.4633,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2662,102.2662,50.0000,1.0000,0.000,0.0000,25.2765,25.2765,22.2662,22.2662,1.9745e-13,1.9745e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:05:00.000,0,16.990,41.8926,58.882,71.195,0.001,3926.4557,76.004,0.001,40.000,-137.487,-101.615,-83.9898,35.8720,196.3690,0.0000,0.0000,0.0000,0.0000,196.3690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,102.3605,102.3605,50.0000,1.0000,0.000,0.0000,25.3708,25.3708,22.3605,22.3605,1.1125e-13,1.1125e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:06:00.000,0,16.990,41.8926,58.882,70.466,0.001,3876.4670,76.150,0.001,40.000,-137.375,-101.503,-83.8785,35.8720,196.2577,0.0000,0.0000,0.0000,0.0000,196.2577,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,102.4718,102.4718,50.0000,1.0000,0.000,0.0000,25.4821,25.4821,22.4718,22.4718,5.5639e-14,5.5639e-14,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:07:00.000,0,16.990,41.8926,58.882,69.653,0.001,3819.9175,76.244,0.001,40.000,-137.248,-101.376,-83.7509,35.8720,196.1301,0.0000,0.0000,0.0000,0.0000,196.1301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,102.5994,102.5994,50.0000,1.0000,0.000,0.0000,25.6097,25.6097,22.5994,22.5994,2.4591e-14,2.4591e-14,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:08:00.000,0,16.990,41.8926,58.882,68.738,0.001,3757.4644,76.281,0.001,40.000,-137.105,-101.233,-83.6077,35.8720,195.9869,0.0000,0.0000,0.0000,0.0000,195.9869,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,102.7426,102.7426,50.0000,1.0000,0.000,0.0000,25.7529,25.7529,22.7426,22.7426,9.5637e-15,9.5637e-15,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:09:00.000,0,16.990,41.8926,58.882,67.693,0.001,3689.8633,76.254,0.001,40.000,-136.947,-101.075,-83.4500,35.8720,195.8292,0.0000,0.0000,0.0000,0.0000,195.8292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,102.9003,102.9003,50.0000,1.0000,0.000,0.0000,25.9106,25.9106,22.9003,22.9003,3.2602e-15,3.2602e-15,3000.0000,-9999.9900,-9999.9900
