"From Object","To Object","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
"From Facility Beijing_1_Leolut","To Satellite SA0101",27 Mar 2026 04:25:59.560,27 Mar 2026 04:37:07.888,668.328
"From Facility Beijing_1_Leolut","To Satellite SA0102",27 Mar 2026 04:16:43.639,27 Mar 2026 04:27:42.564,658.924
"From Facility Beijing_1_Leolut","To Satellite SA0102",27 Mar 2026 05:58:44.000,27 Mar 2026 06:00:00.000,76.000
"From Facility Beijing_1_Leolut","To Satellite SA0103",27 Mar 2026 04:07:27.502,27 Mar 2026 04:18:16.409,648.907
"From Facility Beijing_1_Leolut","To Satellite SA0103",27 Mar 2026 05:49:25.851,27 Mar 2026 06:00:00.000,634.149
"From Facility Beijing_1_Leolut","To Satellite SA0104",27 Mar 2026 04:00:00.000,27 Mar 2026 04:08:49.535,529.535
"From Facility Beijing_1_Leolut","To Satellite SA0104",27 Mar 2026 05:40:08.340,27 Mar 2026 05:51:49.134,700.794
"From Facility Beijing_1_Leolut","To Satellite SA0105",27 Mar 2026 05:30:51.356,27 Mar 2026 05:42:33.805,702.449
"From Facility Beijing_1_Leolut","To Satellite SA0106",27 Mar 2026 05:21:34.793,27 Mar 2026 05:33:16.929,702.136
"From Facility Beijing_1_Leolut","To Satellite SA0107",27 Mar 2026 05:12:18.567,27 Mar 2026 05:23:58.590,700.023
"From Facility Beijing_1_Leolut","To Satellite SA0108",27 Mar 2026 05:03:02.591,27 Mar 2026 05:14:38.873,696.281
"From Facility Beijing_1_Leolut","To Satellite SA0109",27 Mar 2026 04:53:46.776,27 Mar 2026 05:05:17.855,691.079
"From Facility Beijing_1_Leolut","To Satellite SA0110",27 Mar 2026 04:44:31.055,27 Mar 2026 04:55:55.630,684.575
"From Facility Beijing_1_Leolut","To Satellite SA0111",27 Mar 2026 04:35:15.340,27 Mar 2026 04:46:32.274,676.934
"From Facility Beijing_1_Leolut","To Satellite SA0201",27 Mar 2026 04:18:52.413,27 Mar 2026 04:28:08.243,555.831
"From Facility Beijing_1_Leolut","To Satellite SA0202",27 Mar 2026 04:09:27.799,27 Mar 2026 04:18:42.790,554.991
"From Facility Beijing_1_Leolut","To Satellite SA0202",27 Mar 2026 05:52:12.752,27 Mar 2026 06:00:00.000,467.248
"From Facility Beijing_1_Leolut","To Satellite SA0203",27 Mar 2026 04:00:02.341,27 Mar 2026 04:09:18.181,555.840
"From Facility Beijing_1_Leolut","To Satellite SA0203",27 Mar 2026 05:42:55.749,27 Mar 2026 05:53:18.638,622.889
"From Facility Beijing_1_Leolut","To Satellite SA0204",27 Mar 2026 05:33:38.261,27 Mar 2026 05:43:50.529,612.268
"From Facility Beijing_1_Leolut","To Satellite SA0205",27 Mar 2026 05:24:20.202,27 Mar 2026 05:34:22.153,601.951
"From Facility Beijing_1_Leolut","To Satellite SA0206",27 Mar 2026 05:15:01.501,27 Mar 2026 05:24:53.654,592.153
"From Facility Beijing_1_Leolut","To Satellite SA0207",27 Mar 2026 05:05:42.086,27 Mar 2026 05:15:25.183,583.097
"From Facility Beijing_1_Leolut","To Satellite SA0208",27 Mar 2026 04:56:21.890,27 Mar 2026 05:05:56.889,574.999
"From Facility Beijing_1_Leolut","To Satellite SA0209",27 Mar 2026 04:47:00.858,27 Mar 2026 04:56:28.920,568.062
"From Facility Beijing_1_Leolut","To Satellite SA0210",27 Mar 2026 04:37:38.948,27 Mar 2026 04:47:01.407,562.459
"From Facility Beijing_1_Leolut","To Satellite SA0211",27 Mar 2026 04:28:16.133,27 Mar 2026 04:37:34.479,558.345
"From Facility Beijing_1_Leolut","To Satellite SA0301",27 Mar 2026 04:09:54.173,27 Mar 2026 04:20:43.137,648.965
"From Facility Beijing_1_Leolut","To Satellite SA0301",27 Mar 2026 05:53:59.741,27 Mar 2026 06:00:00.000,360.259
"From Facility Beijing_1_Leolut","To Satellite SA0302",27 Mar 2026 04:00:28.024,27 Mar 2026 04:11:27.000,658.976
"From Facility Beijing_1_Leolut","To Satellite SA0302",27 Mar 2026 05:44:33.175,27 Mar 2026 05:53:53.236,560.062
"From Facility Beijing_1_Leolut","To Satellite SA0303",27 Mar 2026 04:00:00.000,27 Mar 2026 04:02:11.079,131.079
"From Facility Beijing_1_Leolut","To Satellite SA0303",27 Mar 2026 05:35:05.962,27 Mar 2026 05:44:30.844,564.882
"From Facility Beijing_1_Leolut","To Satellite SA0304",27 Mar 2026 05:25:38.219,27 Mar 2026 05:35:09.342,571.123
"From Facility Beijing_1_Leolut","To Satellite SA0305",27 Mar 2026 05:16:10.079,27 Mar 2026 05:25:48.704,578.624
"From Facility Beijing_1_Leolut","To Satellite SA0306",27 Mar 2026 05:06:41.685,27 Mar 2026 05:16:28.877,587.192
"From Facility Beijing_1_Leolut","To Satellite SA0307",27 Mar 2026 04:57:13.182,27 Mar 2026 05:07:09.802,596.619
"From Facility Beijing_1_Leolut","To Satellite SA0308",27 Mar 2026 04:47:44.722,27 Mar 2026 04:57:51.410,606.688
"From Facility Beijing_1_Leolut","To Satellite SA0309",27 Mar 2026 04:38:16.453,27 Mar 2026 04:48:33.625,617.171
"From Facility Beijing_1_Leolut","To Satellite SA0310",27 Mar 2026 04:28:48.513,27 Mar 2026 04:39:16.368,627.856
"From Facility Beijing_1_Leolut","To Satellite SA0311",27 Mar 2026 04:19:21.044,27 Mar 2026 04:29:59.567,638.524
